Bankrupt?;Bank Name;City;Digital Banking;Total Employee;Product KPR;Interest Rate ;years founded; ROA(C) before interest and depreciation before interest; ROA(A) before interest and % after tax; ROA(B) before interest and depreciation after tax; Operating Gross Margin; Realized Sales Gross Margin; Operating Profit Rate; Pre-tax net Interest Rate; After-tax net Interest Rate; Non-industry income and expenditure/revenue; Continuous interest rate (after tax); Operating Expense Rate; Research and development expense rate; Cash flow rate; Interest-bearing debt interest rate; Tax rate (A); Net Value Per Share (B); Net Value Per Share (A); Net Value Per Share (C); Persistent EPS in the Last Four Seasons; Cash Flow Per Share; Revenue Per Share (Yuan ¥); Operating Profit Per Share (Yuan ¥); Per Share Net profit before tax (Yuan ¥); Realized Sales Gross Profit Growth Rate; Operating Profit Growth Rate; After-tax Net Profit Growth Rate; Regular Net Profit Growth Rate; Continuous Net Profit Growth Rate; Total Asset Growth Rate; Net Value Growth Rate; Total Asset Return Growth Rate Ratio; Cash Reinvestment %; Current Ratio; Quick Ratio; Interest Expense Ratio; Total debt/Total net worth; Debt ratio %; Net worth/Assets; Long-term fund suitability ratio (A); Borrowing dependency; Contingent liabilities/Net worth; Operating profit/Paid-in capital; Net profit before tax/Paid-in capital; Inventory and accounts receivable/Net value; Total Asset Turnover; Accounts Receivable Turnover; Average Collection Days; Inventory Turnover Rate (times); Fixed Assets Turnover Frequency; Net Worth Turnover Rate (times); Revenue per person; Operating profit per person; Allocation rate per person; Working Capital to Total Assets; Quick Assets/Total Assets; Current Assets/Total Assets; Cash/Total Assets; Quick Assets/Current Liability; Cash/Current Liability; Current Liability to Assets; Operating Funds to Liability; Inventory/Working Capital; Inventory/Current Liability; Current Liabilities/Liability; Working Capital/Equity; Current Liabilities/Equity; Long-term Liability to Current Assets; Retained Earnings to Total Assets; Total income/Total expense; Total expense/Assets; Current Asset Turnover Rate; Quick Asset Turnover Rate; Working capitcal Turnover Rate; Cash Turnover Rate; Cash Flow to Sales; Fixed Assets to Assets; Current Liability to Liability; Current Liability to Equity; Equity to Long-term Liability; Cash Flow to Total Assets; Cash Flow to Liability; CFO to Assets; Cash Flow to Equity; Current Liability to Current Assets; Liability-Assets Flag; Net Income to Total Assets; Total assets to GNP price; No-credit Interval; Gross Profit to Sales; Net Income to Stockholder's Equity; Liability to Equity; Degree of Financial Leverage (DFL); Interest Coverage Ratio (Interest expense to EBIT); Net Income Flag; Equity to Liability;;;;;
1;bank 7162;Malang;no;749;no;2.0%; 16 ;0.370594257;0.424389446;0.405749772;0.601457213;0.601457213;0.998969203;0.796887146;0.808809361;0.302646434;0.78098485;0.000125697;0;0.458143144;0.000725073;0;0.147949939;0.147949939;0.147949939;0.169140588;0.311664427;0.01755978;0.095920528;0.13873616;0.022102278;0.848194995;0.688979463;0.688979463;0.217535386;4980000000;0.000326977;0.263099984;0.363725271;0.002258963;0.001207755;0.629951302;0.021265924;0.207576261;0.792423739;0.005024455;0.390284354;0.006478502;0.095884834;0.137757334;0.398035698;0.086956522;0.001813884;0.003487364;0.000182093;0.000116501;0.032903226;0.034164182;0.392912869;0.037135302;0.672775292;0.166672959;0.190642959;0.004094406;0.001996771;0.000147336;0.14730845;0.334015171;0.276920158;0.00103599;0.676269176;0.721274552;0.339077007;0.025592368;0.903224771;0.002021613;0.064855708;701000000;6550000000;0.593830504;458000000;0.671567654;0.424205762;0.676269176;0.339077007;0.126549488;0.637555395;0.458609148;0.520381918;0.312904948;0.118250477;0;0.716845343;0.00921944;0.622878959;0.60145329;0.827890214;0.290201893;0.026600631;0.564050112;1;0.016468741;;;;Jakarta;yes
1;bank 6267;Bekasi;yes;911;yes;4.0%; 16 ;0.464290937;0.53821413;0.516730018;0.610235086;0.610235086;0.998945978;0.797380191;0.809300726;0.30355643;0.781505974;0.000289785;0;0.461867257;0.000647065;0;0.182251064;0.182251064;0.182251064;0.208943935;0.318136804;0.021144335;0.09372201;0.169917903;0.02208017;0.848087884;0.689692901;0.689701702;0.217619596;6110000000;0.00044304;0.264515778;0.376709139;0.006016206;0.004039367;0.635172463;0.012502394;0.171176346;0.828823654;0.005058882;0.37676002;0.005835039;0.093743384;0.168961617;0.397724883;0.064467766;0.001286356;0.004916808;9360000000;719000000;0.025483871;0.006888651;0.391589969;0.012334972;0.751110917;0.127236002;0.182419054;0.014947727;0.00413603;0.00138391;0.056962827;0.341105992;0.289641576;0.005209682;0.308588593;0.731975289;0.329740148;0.023946819;0.931065218;0.002225608;0.02551586;0.00010652;7700000000;0.593915548;2490000000;0.671569942;0.468828128;0.308588593;0.329740148;0.120916106;0.641099985;0.459001053;0.567101309;0.314163135;0.047775282;0;0.795297136;0.008323302;0.623651742;0.610236526;0.839969268;0.28384598;0.26457682;0.570174946;1;0.020794306;;;;Surabaya;no
1;bank 9304;Malang;yes;1771;yes;4.0%; 20 ;0.426071272;0.499018753;0.472295091;0.601450006;0.601363525;0.998857353;0.796403369;0.808387521;0.302035177;0.780283936;0.00023613;25500000;0.458520587;0.000790079;0;0.17791075;0.17791075;0.193712865;0.180580505;0.307101931;0.005944008;0.092337758;0.142803344;0.022760097;0.848094013;0.689462677;0.68946966;0.217601299;7280000000;0.000396425;0.264183976;0.36891323;0.011542554;0.00534756;0.629631443;0.021247686;0.207515796;0.792484204;0.005099899;0.37909292;0.006561982;0.092318465;0.148035593;0.406580451;0.014992504;0.001495338;0.004226849;65000000;2650000000;0.013387097;0.02899696;0.381967843;0.141016312;0.829501915;0.340200878;0.602805702;0.000990944;0.006302481;5340000000;0.098162065;0.336731495;0.277455528;0.013878786;0.446027487;0.742728638;0.334776851;0.003715116;0.909903362;0.002060071;0.021387428;0.001791094;0.001022676;0.594501851;761000000;0.671571322;0.276179222;0.446027487;0.334776851;0.117922319;0.64276455;0.459254036;0.53849054;0.314515426;0.025346489;0;0.774669697;0.040002853;0.623841038;0.60144934;0.836774309;0.290188533;0.02655472;0.563706076;1;0.016474114;;;;Bandung;no
1;bank 2021;Jakarta;no;554;no;5.0%; 15 ;0.399844001;0.451264719;0.457733283;0.583541129;0.583541129;0.998699747;0.796966968;0.808965598;0.303349536;0.781240991;0.000107889;0;0.465705443;0.000449045;0;0.154186507;0.154186507;0.154186507;0.193722227;0.321673622;0.014368468;0.077762397;0.148602847;0.022046067;0.848005477;0.689109536;0.689109536;0.217568188;4880000000;0.000382426;0.263371176;0.384076599;0.004194059;0.002896491;0.630228353;0.009572402;0.151464764;0.848535236;0.005046924;0.379742688;0.005365848;0.077727295;0.147560516;0.397924501;0.089955022;0.001966056;0.003214967;7130000000;9150000000;0.028064516;0.015463478;0.378496642;0.02131999;0.72575418;0.161574532;0.225814869;0.018850625;0.002961238;0.001010646;0.09871463;0.348716439;0.276580304;0.003540148;0.615848369;0.729824909;0.331508979;0.0221652;0.906902159;0.001831359;0.02416107;8140000000;6050000000;0.593888793;2030000000;0.67151917;0.559143963;0.615848369;0.331508979;0.120760455;0.579039312;0.448517912;0.604105056;0.302382255;0.067249617;0;0.739554525;0.003252475;0.622928709;0.583537612;0.834697107;0.281721193;0.026696634;0.56466342;1;0.023982332;;;;Tangerang;no
1;bank 952;Semarang;yes;1610;yes;2.0%; 16 ;0.465022181;0.538432185;0.522297768;0.598783494;0.598783494;0.998973132;0.797366081;0.80930372;0.303474978;0.781550045;7890000000;0;0.462746282;0.000686069;0;0.167502423;0.167502423;0.167502423;0.212536636;0.319162481;0.029689792;0.096897647;0.168411539;0.02209591;0.848258202;0.689696883;0.689696883;0.217625639;5510000000;0.000438948;0.265218236;0.379689654;0.006022446;0.003727447;0.636054986;0.0051496;0.106509055;0.893490945;0.005303319;0.375025443;0.006623525;0.09692706;0.167460976;0.400078776;0.175412294;0.001448673;0.004366891;0.000163367;0.000293521;0.04016129;0.058111423;0.394371452;0.023988212;0.751822452;0.260329881;0.35838016;0.014160974;0.004274771;0.000680464;0.110194846;0.344638754;0.287912653;0.00486857;0.975006616;0.731999641;0.330726319;0;0.913850197;0.00222393;0.026385246;6680000000;5050000000;0.593915261;824000000;0.671563053;0.309554917;0.975006616;0.330726319;0.110933234;0.622374075;0.454410932;0.578468903;0.311567161;0.047725372;0;0.795015873;0.003877563;0.623520698;0.59878151;0.839972746;0.27851379;0.024751848;0.575616645;1;0.035490201;;;;Bogor;
1;bank 3556;Bekasi;yes;1443;no;4.0%; 10 ;0.388680349;0.415176625;0.419133787;0.590171378;0.590250652;0.998758098;0.796903193;0.808770562;0.303115813;0.781069061;0.00015715;0;0.465861453;0.000716072;0;0.155577093;0.155577093;0.155577093;0.174435095;0.325387282;0.01810427;0.078088104;0.138811478;0.021564943;0.847982832;0.68910515;0.689177544;0.217566423;608000000;0.000351782;0.263249955;0.388025781;0.002740085;0.000854661;0.630183833;0.014213152;0.180427487;0.819572513;0.004913193;0.381448187;0.005749123;0.078101845;0.137825202;0.400419065;0.095952024;0.001527802;0.004137189;650000000;9300000000;0.029677419;0.021300471;0.377569481;0.03282877;0.686728646;0.080263715;0.214535988;0.002645226;0.000988425;0.000100856;0.139002106;0.350563147;0.276678474;0.004879131;0.733351869;0.725201639;0.335534372;0.003772505;0.903041267;0.001865609;0.040093622;8010000000;2810000000;0.593845782;295000000;0.671567593;0.60319348;0.733351869;0.335534372;0.112917172;0.637469772;0.458499293;0.622190123;0.313268472;0.099521933;0;0.710420495;0.005277875;0.622604643;0.590172327;0.829938957;0.2850871;0.026675366;0.564538339;1;0.019534478;;;;Depok;
0;bank 767;Bekasi;no;2215;no;5.0%; 20 ;0.390922829;0.445704317;0.436158253;0.619949841;0.619949841;0.998993121;0.797011929;0.80896039;0.302814415;0.781180079;0.000398483;730000000;0.461020105;0.000805081;0;0.158821794;0.158821794;0.158821794;0.161482462;0.316686709;0.030914893;0.099910431;0.128944792;0.02211225;0.848322469;0.68858985;0.68858985;0.217604461;5720000000;0.000351757;0.26303238;0.375302709;0.00467206;0.002869042;0.629987945;0.024441222;0.216101823;0.783898177;0.005005044;0.384998982;0.008043897;0.099866465;0.127939069;0.400574473;0.100449775;0.001661713;0.003805018;0.00016203;0.000145248;0.040806452;0.011459542;0.393172927;0.009703141;0.729416462;0.25509317;0.295221007;0.022988598;0.00397383;0.001050312;0.115920412;0.340080537;0.276643292;0.002159349;0.508088826;0.728730796;0.337392013;0.009347426;0.911441408;0.002120736;0.092802307;0.000105801;9560000000;0.593893372;2390000000;0.67156226;0.355853782;0.508088826;0.337392013;0.120561366;0.630419077;0.457785445;0.560653;0.310296438;0.060765125;0;0.736619098;0.018371872;0.623655442;0.619948867;0.829979764;0.292504124;0.026622298;0.56420012;1;0.015663075;;;;Bekasi;
0;bank 1632;Bekasi;yes;1168;yes;6.0%; 4 ;0.508360552;0.570922372;0.559077038;0.601738278;0.601716658;0.999008951;0.797448808;0.809361528;0.303544587;0.781621483;9000000000;50900000;0.46702398;0.000630063;0.157607045;0.176983692;0.176983692;0.176983692;0.225205635;0.324114027;0.042560915;0.104796026;0.180462454;0.02211432;0.848082155;0.689535186;0.689535186;0.217633192;6630000000;0.00045105;0.264111709;0.384234939;0.00965738;0.007304548;0.631379022;0.005278181;0.108202074;0.891797926;0.005640165;0.374219105;0.006383445;0.104784471;0.17951889;0.400882609;0.218890555;0.001335051;0.004740049;0.000199098;0.000518201;0.046290323;0.028077494;0.396463219;0.007058041;0.797005214;0.361219101;0.447942035;0.014615913;0.007564962;0.000888122;0.087041801;0.353510615;0.277275205;0.005755846;0.755769661;0.73494641;0.329803726;0.005345656;0.935449309;0.002359999;0.025482153;7290000000;6180000000;0.593937092;734000000;0.671571763;0.218473358;0.755769661;0.329803726;0.114507969;0.641553075;0.458953778;0.610090812;0.314363648;0.030201105;0;0.815350392;0.010004504;0.623842635;0.60173934;0.84145944;0.278607306;0.027030517;0.566088942;1;0.034888556;;;;Malang;
0;bank 9302;Surabaya;no;1826;no;6.0%; 11 ;0.488519475;0.545137375;0.543283902;0.603612044;0.603612044;0.998960768;0.797413531;0.809338092;0.303583501;0.781598185;0.000168714;0;0.463142179;0.000737074;0.00587104;0.184189457;0.184189457;0.184189457;0.218398412;0.318773431;0.026604353;0.095187688;0.173156587;0.022128432;0.848158762;0.689924337;0.689924337;0.217653752;6890000000;0.000452722;0.264150562;0.377994486;0.013498866;0.011823024;0.630914987;0.002266116;0.058590561;0.941409439;0.005417946;0.370253398;0.005365848;0.095209015;0.172158962;0.397462297;0.154422789;0.001302588;0.004855326;0.000304188;0.000245862;0.029516129;0.016382944;0.391940481;0.008814622;0.813737523;0.378625212;0.414645601;0.145189218;0.011937605;0.013190215;0.058059728;0.345440819;0.27708743;0.004384755;0.906707131;0.735182055;0.328092756;0;0.935200209;0.00227396;0.029884061;0.000102672;9840000000;0.593958848;0.00010523;0.671576185;0.323861363;0.906707131;0.328092756;0.110933234;0.649869164;0.462165214;0.574032785;0.315376064;0.021710461;0;0.80364729;0.000824071;0.623977217;0.603613451;0.840486633;0.276422514;0.02689063;0.565591901;1;0.065826497;;;;Semarang;
0;bank 4677;Malang;yes;2240;no;6.0%; 5 ;0.495685663;0.550915831;0.542962685;0.599208694;0.599208694;0.999000632;0.797403571;0.809320385;0.303482954;0.781574185;5820000000;0;0.470575308;0.000672067;0.392448628;0.177447221;0.177447221;0.177447221;0.217831143;0.330161986;0.078663581;0.109844475;0.176621225;0.022118303;0.848083508;0.689338461;0.689338461;0.217700369;5550000000;0.000444912;0.263883255;0.3900842;0.011474535;0.007516653;0.632188258;0.006354244;0.121292741;0.878707259;0.00547526;0.37450876;0.005818587;0.109873467;0.175657944;0.406363416;0.347826087;0.001468962;0.004302847;0.000205977;0.000738342;0.076612903;0.033279967;0.396372764;0.005720613;0.825695871;0.394951276;0.577189304;0.008772791;0.007604683;0.000490883;0.094563303;0.36104354;0.277337461;0.010342955;0.734899301;0.737180246;0.330409488;0.004950682;0.938289897;0.002269196;0.035891062;5110000000;3600000000;0.593935898;258000000;0.671572411;0.254953362;0.734899301;0.330409488;0.115498978;0.643428364;0.459378687;0.645146286;0.314645153;0.025494302;0;0.804194657;0.005797642;0.623865044;0.599205074;0.840688177;0.279387519;0.027243015;0.566667622;1;0.030800865;;;;Malang;
